No Records;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
1;"[""fl""]";1;1.0;200.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;120.0;;;91.0;0.5
1;"[""ew""]";1;4.0;;;91.0;0.5
1;"[""ew""]";1;3.0;129.0;;91.0;0.5
1;"[""cw""]";1;15.0;300.0;;91.0;0.5
2;"[""eq"", ""eq""]";2;;199.0;40788.0;91.0;0.5
2;"[""eq"", ""ts"", ""ls""]";3;;53290.0;;91.0;0.5
2;"[""ew"", ""fl"", ""ls""]";3;31.0;262850.0;;91.0;0.5
1;"[""ew""]";1;;2537.0;;91.0;0.5
1;"[""ls""]";1;7.0;200.0;;91.0;0.5
1;"[""fl""]";1;60.0;;;91.0;0.5
1;"[""cw""]";1;6.0;25277.0;;91.0;0.5
1;"[""cw""]";1;7.0;400.0;;91.0;0.5
1;"[""hw""]";1;;;;91.0;0.5
2;"[""eq"", ""hw""]";2;;776.0;;91.0;0.5
1;"[""hw""]";1;3.0;70.0;;91.0;0.5
1;"[""fl""]";1;2.0;4159.0;;91.0;0.5
2;"[""dr"", ""hw""]";2;;;;91.0;0.5
1;"[""cw""]";1;7.0;;;91.0;0.5
1;"[""cw""]";1;8.0;;;91.0;0.5
1;"[""hw""]";1;5.0;400.0;;91.0;0.5
1;"[""fl""]";1;460.0;5000004.0;424876.0;91.0;0.5
2;"[""fl"", ""cw""]";2;;;;91.0;0.5
1;"[""ls""]";1;4.0;165.0;;91.0;0.5
2;"[""cw"", ""ew""]";2;;;;91.0;0.5
1;"[""eq""]";1;7.0;7477.0;;91.0;0.5
1;"[""fl""]";1;;220000.0;;91.0;0.5
1;"[""ls""]";1;287.0;2838.0;;91.0;0.5
1;"[""fl""]";1;1.0;600.0;;91.0;0.5
1;"[""ew""]";1;;2005.0;;91.0;0.5
1;"[""fl""]";1;347.0;3448053.0;271921.0;91.0;0.5
1;"[""ls""]";1;58.0;7038.0;;91.0;0.5
1;"[""eq""]";1;;4124.0;3399.0;91.0;0.5
1;"[""ew""]";1;11.0;840.0;22094.0;91.0;0.5
5;"[""fl"", ""fl"", ""ls"", ""fl"", ""ls"", ""fl""]";6;377.0;;;91.0;0.5
2;"[""cw"", ""ls""]";2;;;;91.0;0.5
1;"[""ls""]";1;33.0;22.0;;91.0;0.5
2;"[""cw"", ""ew""]";2;;;;91.0;0.5
1;"[""ew""]";1;1.0;1035.0;13766.0;91.0;0.5
1;"[""fl""]";1;;;;91.0;0.5
1;"[""fl""]";1;;300.0;;91.0;0.5
1;"[""dr""]";1;;600000.0;84975.0;91.0;0.5
2;"[""hw"", ""dr""]";2;;150012.0;;91.0;0.5
1;"[""dr""]";1;;5000000.0;;91.0;0.5
1;"[""hw""]";1;;;1375.0;91.0;0.5
1;"[""dr"", ""hw""]";2;;;268522.0;91.0;0.5
2;"[""ew"", ""ew""]";2;21.0;20530.0;23399.0;91.0;0.5
5;"[""fl"", ""fl"", ""ls"", ""fl"", ""ls"", ""ew""]";6;327.0;252167.0;;91.0;0.5
1;"[""dr""]";1;;696000.0;339901.0;91.0;0.5
1;"[""fl""]";1;;6000.0;11897.0;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
1;"[""fl"", ""ls""]";2;200.0;1000.0;;91.0;0.5
1;"[""fl""]";1;3.0;500.0;;91.0;0.5
1;"[""fl""]";1;7.0;;;91.0;0.5
1;"[""fl""]";1;8.0;400.0;10197.0;91.0;0.5
1;"[""eq""]";1;;1.0;;91.0;0.5
3;"[""eq"", ""ew"", ""vo""]";3;;5000.0;;91.0;0.5
1;"[""fl""]";1;9.0;30000.0;;91.0;0.5
2;"[""ls"", ""ls""]";2;129.0;;;91.0;0.5
1;"[""fl"", ""ls""]";2;;175.0;282118.0;91.0;0.5
1;"[""fl""]";1;4.0;1000.0;;91.0;0.5
1;"[""fl""]";1;;100.0;;91.0;0.5
3;"[""fl"", ""fl"", ""ew""]";3;;2543719.0;;91.0;0.5
2;"[""ls"", ""eq""]";2;15.0;177638.0;77158.0;91.0;0.5
2;"[""ew"", ""ew""]";2;44.0;4532.0;;91.0;0.5
1;"[""ew""]";1;;134.0;;91.0;0.5
1;"[""ew""]";1;;5730.0;;91.0;0.5
1;"[""ew""]";1;;503.0;59.0;91.0;0.5
1;"[""fl""]";1;15.0;;;91.0;0.5
3;"[""fl"", ""fl"", ""ew""]";3;45.0;3389.0;104180.0;91.0;0.5
1;"[""ew""]";1;;;;91.0;0.5
1;"[""fl""]";1;9.0;12500.0;860.0;91.0;0.5
2;"[""fl"", ""fl""]";2;;2750.0;;91.0;0.5
1;"[""fl""]";1;1.0;1000.0;2209.0;91.0;0.5
1;"[""fl""]";1;15.0;450000.0;1700.0;91.0;0.5
1;"[""eq""]";1;;25174.0;84975.0;91.0;0.5
1;"[""fl""]";1;2.0;400.0;;91.0;0.5
1;"[""ew""]";1;5.0;6029.0;35690.0;91.0;0.5
