Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0272-TUR;2000-0381-TUR;1078.0;1.0;0.0;1.0;2000-05-07 00:00:00+00:00;2000-06-01 00:00:00+00:00;25.0
2000-0276-MEX;2000-0317-MEX;1806.0;0.01;1.0;1.0;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;17.0
2000-0277-RUS;2000-0457-RUS;22270.0;0.0;1.0;1.0;2000-05-13 00:00:00+00:00;2000-07-19 00:00:00+00:00;67.0
2000-0277-RUS;2000-0549-RUS;146258.0;0.02;1.0;1.0;2000-05-13 00:00:00+00:00;2000-08-28 00:00:00+00:00;107.0
2000-0277-RUS;2000-0705-RUS;146343.0;0.02;1.0;1.0;2000-05-13 00:00:00+00:00;2000-10-10 00:00:00+00:00;150.0
2000-0281-TUR;2000-0381-TUR;33787.0;1.0;0.03;1.0;2000-05-27 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0291-TUR;2000-0381-TUR;5972.0;1.0;0.0;1.0;2000-06-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0294-BGD;2000-0555-BGD;5557.0;0.15;0.98;0.98;2000-05-23 00:00:00+00:00;2000-08-30 00:00:00+00:00;99.0
2000-0296-USA;2000-9339-USA;2930.0;1.0;0.0;1.0;2000-05-19 00:00:00+00:00;2000-06-01 00:00:00+00:00;13.0
2000-0297-USA;2000-0433-USA;6667.0;0.75;0.01;0.75;2000-05-23 00:00:00+00:00;2000-07-01 00:00:00+00:00;39.0
2000-0297-USA;2000-0919-USA;6654.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-01-22 00:00:00+00:00;122.0
2000-0297-USA;2000-9339-USA;6667.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-06-01 00:00:00+00:00;9.0
2000-0298-CHN;2000-0302-CHN;652556.0;1.0;0.37;1.0;2000-06-06 00:00:00+00:00;2000-05-31 00:00:00+00:00;6.0
2000-0299-GTM;2000-0609-GTM;16172.0;0.4;1.0;1.0;2000-06-06 00:00:00+00:00;2000-09-15 00:00:00+00:00;101.0
2000-0302-CHN;2000-0326-CHN;877569.0;0.5;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-05 00:00:00+00:00;5.0
2000-0302-CHN;2000-0376-CHN;221945.0;0.13;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-08 00:00:00+00:00;8.0
2000-0302-CHN;2000-0426-CHN;656224.0;0.38;1.0;1.0;2000-05-31 00:00:00+00:00;2000-07-18 00:00:00+00:00;48.0
2000-0302-CHN;2000-0677-CHN;211993.0;0.12;0.85;0.85;2000-05-31 00:00:00+00:00;2000-10-12 00:00:00+00:00;134.0
2000-0302-CHN;2000-9626-CHN;211993.0;0.12;1.0;1.0;2000-05-31 00:00:00+00:00;2000-09-01 00:00:00+00:00;93.0
2000-0310-CHL;2000-0423-CHL;53415.0;1.0;0.1;1.0;2000-06-05 00:00:00+00:00;2000-07-03 00:00:00+00:00;28.0
2000-0323-IND;2000-0445-IND;173839.0;1.0;0.1;1.0;2000-10-17 00:00:00+00:00;2000-08-02 00:00:00+00:00;76.0
2000-0323-IND;2000-0785-IND;173839.0;1.0;0.88;1.0;2000-10-17 00:00:00+00:00;2000-11-29 00:00:00+00:00;43.0
2000-0326-CHN;2000-0376-CHN;221422.0;0.25;1.0;1.0;2000-06-05 00:00:00+00:00;2000-06-08 00:00:00+00:00;3.0
2000-0326-CHN;2000-0426-CHN;656224.0;0.75;1.0;1.0;2000-06-05 00:00:00+00:00;2000-07-18 00:00:00+00:00;43.0
2000-0326-CHN;2000-0472-CHN;656224.0;0.75;0.68;0.75;2000-06-05 00:00:00+00:00;2000-07-11 00:00:00+00:00;36.0
2000-0333-MEX;2000-0643-MEX;99921.0;1.0;0.17;1.0;2000-06-10 00:00:00+00:00;2000-09-29 00:00:00+00:00;111.0
2000-0337-UKR;2000-0427-UKR;51806.0;0.04;1.0;1.0;2000-05-01 00:00:00+00:00;2000-07-05 00:00:00+00:00;65.0
2000-0337-UKR;2000-0603-UKR;71621.0;0.05;1.0;1.0;2000-05-01 00:00:00+00:00;2000-07-25 00:00:00+00:00;85.0
2000-0350-CHN;2000-0533-CHN;152067.0;1.0;0.53;1.0;2000-06-17 00:00:00+00:00;2000-08-23 00:00:00+00:00;67.0
2000-0358-IND;2000-0498-IND;12193.0;0.15;1.0;1.0;2000-06-01 00:00:00+00:00;2000-08-11 00:00:00+00:00;71.0
2000-0379-GRC;2000-0708-GRC;1009.0;0.01;0.94;0.94;2000-07-01 00:00:00+00:00;2000-10-31 00:00:00+00:00;122.0
2000-0379-GRC;2000-0742-GRC;6030.0;0.05;0.84;0.84;2000-07-01 00:00:00+00:00;2000-11-19 00:00:00+00:00;141.0
2000-0380-ROU;2000-9328-ROU;14389.0;0.97;0.16;0.97;2000-07-01 00:00:00+00:00;2000-06-01 00:00:00+00:00;30.0
2000-0382-BGR;2000-9788-BGR;40255.0;1.0;0.2;1.0;2000-06-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;92.0
2000-0396-PHL;2000-0397-PHL;37.0;1.0;0.0;1.0;2000-07-05 00:00:00+00:00;2000-07-07 00:00:00+00:00;2.0
