Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2015-0395-CHN;2015-0457-CHN;1711251.0;0.25;0.63;0.63;2015-08-02 00:00:00+00:00;2015-09-15 00:00:00+00:00;44.0
2015-0395-CHN;2015-0491-CHN;468714.0;0.07;1.0;1.0;2015-08-02 00:00:00+00:00;2015-10-06 00:00:00+00:00;65.0
2015-0397-CHN;2015-0457-CHN;1457310.0;1.0;0.53;1.0;2015-08-16 00:00:00+00:00;2015-09-15 00:00:00+00:00;30.0
2015-0397-CHN;2015-0491-CHN;468714.0;0.32;1.0;1.0;2015-08-16 00:00:00+00:00;2015-10-06 00:00:00+00:00;51.0
2015-0406-IND;2015-0413-IND;17778.0;0.33;0.14;0.33;2015-08-28 00:00:00+00:00;2015-07-14 00:00:00+00:00;45.0
2015-0410-FRA;2015-0434-FRA;38118.0;0.05;1.0;1.0;2015-06-29 00:00:00+00:00;2015-09-16 00:00:00+00:00;79.0
2015-0418-JPN;2015-0456-JPN;21978.0;1.0;0.7;1.0;2015-09-09 00:00:00+00:00;2015-09-08 00:00:00+00:00;1.0
2015-0418-JPN;2015-0611-JPN;0.0;0.0;0.0;0.0;2015-09-09 00:00:00+00:00;2015-07-12 00:00:00+00:00;59.0
2015-0438-IRN;2015-0499-IRN;3849.0;0.04;0.01;0.04;2015-09-18 00:00:00+00:00;2015-11-12 00:00:00+00:00;55.0
2015-0446-PAN;2015-9353-PAN;10094.0;1.0;0.14;1.0;2015-09-22 00:00:00+00:00;2015-08-01 00:00:00+00:00;52.0
2015-0450-IND;2015-0504-IND;50786.0;0.27;0.68;0.68;2015-09-06 00:00:00+00:00;2015-11-08 00:00:00+00:00;63.0
2015-0456-JPN;2015-0611-JPN;0.0;0.0;0.0;0.0;2015-09-08 00:00:00+00:00;2015-07-12 00:00:00+00:00;58.0
2015-0457-CHN;2015-0490-CHN;534492.0;0.2;1.0;1.0;2015-09-15 00:00:00+00:00;2015-10-04 00:00:00+00:00;19.0
2015-0457-CHN;2015-0491-CHN;468714.0;0.17;1.0;1.0;2015-09-15 00:00:00+00:00;2015-10-06 00:00:00+00:00;21.0
2015-0457-CHN;2015-0533-CHN;271294.0;0.1;1.0;1.0;2015-09-15 00:00:00+00:00;2015-11-10 00:00:00+00:00;56.0
2015-0458-CHN;2015-0510-CHN;22225.0;0.08;1.0;1.0;2015-09-28 00:00:00+00:00;2015-11-13 00:00:00+00:00;46.0
2015-0465-ITA;2015-0532-ITA;5236.0;0.15;0.26;0.26;2015-10-14 00:00:00+00:00;2015-11-01 00:00:00+00:00;18.0
2015-0476-AFG;2015-0571-AFG;2453.0;0.01;1.0;1.0;2015-10-26 00:00:00+00:00;2015-12-25 00:00:00+00:00;60.0
2015-0476-PAK;2015-0571-PAK;0.0;0.0;0.0;0.0;2015-10-25 00:00:00+00:00;2015-12-25 00:00:00+00:00;61.0
2015-0484-SOM;2015-0494-SOM;8302.0;0.43;0.12;0.43;2015-11-02 00:00:00+00:00;2015-11-08 00:00:00+00:00;6.0
2015-0484-YEM;2015-0494-YEM;4005.0;0.02;0.17;0.17;2015-11-03 00:00:00+00:00;2015-11-08 00:00:00+00:00;5.0
2015-0489-BRA;2015-0551-BRA;361501.0;0.74;1.0;1.0;2015-10-08 00:00:00+00:00;2015-12-20 00:00:00+00:00;73.0
2015-0498-URY;2015-0551-URY;107349.0;1.0;1.0;1.0;2015-10-14 00:00:00+00:00;2015-12-20 00:00:00+00:00;67.0
