;Records;No records;Hazards;No hazards
2002-0845-COL;"[""2002-0845-COL""]";1;"[""fl""]";1
2002-0692-PAK;"[""2002-0692-PAK""]";1;"[""eq"", ""ls""]";2
2002-0822-IDN;"[""2002-0822-IDN""]";1;"[""eq""]";1
2002-0693-ECU;"[""2002-0693-ECU""]";1;"[""vo""]";1
2002-0700-USA;"[""2002-0700-USA""]";1;"[""ew""]";1
2002-0694-GRC;"[""2002-0694-GRC""]";1;"[""fl""]";1
2002-0715-SOM;"[""2002-0715-SOM""]";1;"[""fl""]";1
2002-0708-PER;"[""2002-0708-PER""]";1;"[""fl""]";1
2002-0739-COG;"[""2002-0739-COG""]";1;"[""fl""]";1
2002-0701-IDN;"[""2002-0701-IDN""]";1;"[""vo""]";1
2002-0702-IND;"[""2002-0702-IND""]";1;"[""ew""]";1
2002-0773-IRL;"[""2002-0773-IRL""]";1;"[""fl""]";1
2002-0706-AUT;"[""2002-0706-AUT""]";1;"[""ew""]";1
2002-0743-CHE;"[""2002-0743-CHE""]";1;"[""ls"", ""ls""]";2
2002-0705-BGD;"[""2002-0705-BGD""]";1;"[""ew""]";1
2002-0774-GBR;"[""2002-0774-GBR""]";1;"[""fl""]";1
2002-0711-KEN;"[""2002-0711-KEN""]";1;"[""fl""]";1
2002-0712-FRA;"[""2002-0712-FRA""]";1;"[""ew""]";1
2002-0732-IDN;"[""2002-0732-IDN""]";1;"[""fl""]";1
2002-0721-PAK;"[""2002-0692-PAK"", ""2002-0721-PAK""]";2;"[""eq"", ""ls"", ""eq"", ""ls""]";4
2002-0740-ITA;"[""2002-0740-ITA""]";1;"[""fl"", ""ls""]";2
2002-0755-CRI;"[""2002-0755-CRI""]";1;"[""fl""]";1
2002-0755-PAN;"[""2002-0755-PAN""]";1;"[""fl""]";1
2002-0734-MAR;"[""2002-0734-MAR""]";1;"[""fl""]";1
2002-0770-VUT;"[""2002-0770-VUT""]";1;"[""eq"", ""ls""]";2
2002-0766-MNG;"[""2002-0766-MNG""]";1;"[""ew""]";1
2002-0834-PAK;"[""2002-0834-PAK""]";1;"[""cw""]";1
2002-0831-NPL;"[""2002-0831-NPL""]";1;"[""cw""]";1
2002-0818-IND;"[""2002-0818-IND""]";1;"[""cw""]";1
2002-0757-GRC;"[""2002-0757-GRC""]";1;"[""eq""]";1
2002-0751-USA;"[""2002-0700-USA"", ""2002-0751-USA""]";2;"[""ew"", ""ew""]";2
2002-0798-AUS;"[""2002-0798-AUS""]";1;"[""ew""]";1
2002-0782-MKD;"[""2002-0782-MKD""]";1;"[""fl""]";1
2002-0764-GRC;"[""2002-0764-GRC""]";1;"[""fl""]";1
2002-0767-ROU;"[""2002-0767-ROU""]";1;"[""cw""]";1
2002-0752-DZA;"[""2002-0752-DZA""]";1;"[""fl""]";1
2002-0753-GUM;"[""2002-0753-GUM""]";1;"[""ew""]";1
2002-0826-MNP;"[""2002-0826-MNP""]";1;"[""ew""]";1
2002-0824-BRA;"[""2002-0824-BRA""]";1;"[""ls"", ""fl""]";2
2002-0825-JPN;"[""2002-0825-JPN""]";1;"[""ew""]";1
2002-0769-IDN;"[""2002-0769-IDN""]";1;"[""ls""]";1
2002-0777-GRC;"[""2002-0777-GRC""]";1;"[""fl""]";1
2002-0835-CHN;"[""2002-0835-CHN""]";1;"[""eq""]";1
2002-0819-BGD;"[""2002-0819-BGD""]";1;"[""cw""]";1
2002-0788-LKA;"[""2002-0788-LKA""]";1;"[""fl""]";1
2002-0793-USA;"[""2002-0793-USA""]";1;"[""ew""]";1
2002-0789-EGY;"[""2002-0789-EGY""]";1;"[""fl""]";1
2002-0791-TUR;"[""2002-0791-TUR""]";1;"[""ew""]";1
2002-0796-JOR;"[""2002-0796-JOR""]";1;"[""ew""]";1
2002-0790-LBN;"[""2002-0790-LBN""]";1;"[""ew""]";1
2002-0829-VUT;"[""2002-0829-VUT""]";1;"[""fl""]";1
2002-0800-KEN;"[""2002-0800-KEN""]";1;"[""fl""]";1
2002-0830-BRA;"[""2002-0830-BRA""]";1;"[""ls""]";1
2002-0802-USA;"[""2002-0700-USA"", ""2002-0751-USA"", ""2002-0802-USA""]";3;"[""ew"", ""ew"", ""ew""]";3
2002-0804-IRN;"[""2002-0804-IRN""]";1;"[""eq""]";1
2002-0813-BEL;"[""2002-0813-BEL""]";1;"[""fl""]";1
2002-0805-MEX;"[""2002-0805-MEX""]";1;"[""cw""]";1
2002-0803-CHN;"[""2002-0803-CHN""]";1;"[""ew""]";1
2002-0814-PRT;"[""2002-0814-PRT""]";1;"[""fl""]";1
2002-0806-GRC;"[""2002-0806-GRC""]";1;"[""fl""]";1
2002-0808-MWI;"[""2002-0808-MWI""]";1;"[""fl""]";1
2003-0001-FRA;"[""2003-0001-FRA""]";1;"[""fl""]";1
2003-0020-MWI;"[""2002-0808-MWI"", ""2003-0020-MWI""]";2;"[""fl"", ""fl""]";2
2003-9064-CHN;"[""2003-9064-CHN""]";1;"[""dr""]";1
2003-0020-MOZ;"[""2003-9035-MOZ"", ""2003-0020-MOZ""]";2;"[""dr"", ""fl""]";2
2003-0022-LVA;"[""2003-0022-LVA""]";1;"[""cw""]";1
2003-9035-MOZ;"[""2003-0020-MOZ"", ""2003-9035-MOZ""]";2;"[""fl"", ""dr""]";2
2003-0001-ROU;"[""2003-0001-ROU""]";1;"[""fl""]";1
2003-0001-PRT;"[""2002-0814-PRT"", ""2003-0001-PRT""]";2;"[""fl"", ""fl"", ""ls""]";3
2003-0104-AFG;"[""2003-0104-AFG""]";1;"[""fl""]";1
2003-0001-BEL;"[""2002-0813-BEL"", ""2003-0001-BEL""]";2;"[""fl"", ""fl""]";2
2003-0016-IDN;"[""2003-0016-IDN""]";1;"[""fl"", ""ls""]";2
2003-0048-ROU;"[""2003-0048-ROU""]";1;"[""fl""]";1
2003-0003-DEU;"[""2003-0003-DEU""]";1;"[""ew""]";1
2003-0003-FRA;"[""2003-0003-FRA""]";1;"[""ew""]";1
2003-0003-CHE;"[""2003-0003-CHE""]";1;"[""ew""]";1
2003-0012-BOL;"[""2003-0012-BOL""]";1;"[""fl""]";1
2003-0729-KEN;"[""2003-0729-KEN""]";1;"[""fl""]";1
2003-0021-IDN;"[""2003-0021-IDN""]";1;"[""fl""]";1
2003-0033-MKD;"[""2003-0033-MKD""]";1;"[""fl"", ""ls""]";2
2003-0066-AUS;"[""2003-0066-AUS""]";1;"[""ew""]";1
2003-0067-IDN;"[""2003-0067-IDN""]";1;"[""fl""]";1
2003-0730-BRA;"[""2003-0730-BRA""]";1;"[""fl"", ""ls""]";2
2003-0068-IRN;"[""2003-0068-IRN""]";1;"[""eq""]";1
2003-0028-BRA;"[""2003-0730-BRA"", ""2003-0028-BRA""]";2;"[""fl"", ""ls"", ""fl"", ""ls""]";4
2003-0027-TUN;"[""2003-0027-TUN""]";1;"[""fl""]";1
2003-0037-MDG;"[""2003-0037-MDG""]";1;"[""fl""]";1
2003-0047-BOL;"[""2003-0047-BOL""]";1;"[""fl"", ""ls""]";2
2003-0039-MEX;"[""2002-0805-MEX"", ""2003-0039-MEX""]";2;"[""cw"", ""eq"", ""ls""]";3
2003-0069-IDN;"[""2003-0069-IDN""]";1;"[""eq""]";1
2003-0051-PER;"[""2003-0051-PER""]";1;"[""fl"", ""ls""]";2
2003-0044-GRC;"[""2003-0044-GRC""]";1;"[""fl""]";1
2003-0043-ITA;"[""2003-0043-ITA""]";1;"[""fl"", ""ls""]";2
2003-0057-SLB;"[""2003-0057-SLB""]";1;"[""ew""]";1
2003-0050-TUR;"[""2003-0050-TUR""]";1;"[""eq""]";1
2003-0049-CYP;"[""2003-0049-CYP""]";1;"[""ew""]";1
2003-0074-IDN;"[""2003-0016-IDN"", ""2003-0074-IDN""]";2;"[""fl"", ""ls"", ""fl""]";3
2003-0053-IDN;"[""2003-0016-IDN"", ""2003-0074-IDN"", ""2003-0053-IDN""]";3;"[""fl"", ""ls"", ""fl"", ""ls""]";4
2003-0065-MDG;"[""2003-0065-MDG""]";1;"[""ew""]";1
2003-0059-DZA;"[""2003-0059-DZA""]";1;"[""ew""]";1
2003-0060-IDN;"[""2003-0016-IDN"", ""2003-0074-IDN"", ""2003-0060-IDN""]";3;"[""fl"", ""ls"", ""fl"", ""ls""]";4
2003-0075-HUN;"[""2003-0075-HUN""]";1;"[""ew""]";1
2003-0096-LBN;"[""2003-0096-LBN""]";1;"[""fl""]";1
2003-9784-HRV;"[""2003-9784-HRV""]";1;"[""dr"", ""hw""]";2
2003-0073-COD;"[""2003-0073-COD""]";1;"[""ew""]";1
2003-0097-GRC;"[""2003-0097-GRC""]";1;"[""fl"", ""ls""]";2
2003-0098-MOZ;"[""2003-0098-MOZ""]";1;"[""fl""]";1
2003-0079-AUS;"[""2003-0079-AUS""]";1;"[""fl""]";1
2003-0072-AGO;"[""2003-0072-AGO""]";1;"[""fl""]";1
2003-0080-ARG;"[""2003-0080-ARG""]";1;"[""fl""]";1
2003-0118-IDN;"[""2003-0016-IDN"", ""2003-0074-IDN"", ""2003-0118-IDN""]";3;"[""fl"", ""ls"", ""fl"", ""fl""]";4
2003-0085-USA;"[""2003-0085-USA""]";1;"[""ew""]";1
2003-0741-USA;"[""2003-0085-USA"", ""2003-0741-USA""]";2;"[""ew"", ""ew"", ""fl""]";3
2003-0087-CAN;"[""2003-0087-CAN""]";1;"[""fl""]";1
2003-0086-PAK;"[""2003-0086-PAK""]";1;"[""ew""]";1
2003-0089-IND;"[""2003-0089-IND""]";1;"[""ew""]";1
2003-0100-IND;"[""2003-0100-IND""]";1;"[""ew""]";1
2003-0117-GRC;"[""2003-0044-GRC"", ""2003-0117-GRC""]";2;"[""fl"", ""fl""]";2
2003-0109-AUS;"[""2003-0109-AUS""]";1;"[""fl""]";1
2003-0105-CHN;"[""2003-0105-CHN""]";1;"[""eq""]";1
2003-0742-ZWE;"[""2003-0742-ZWE""]";1;"[""fl""]";1
2003-0787-IRN;"[""2003-0787-IRN""]";1;"[""ls""]";1
2003-0115-TJK;"[""2003-0115-TJK""]";1;"[""ls""]";1
2003-9651-RWA;"[""2003-9651-RWA""]";1;"[""dr""]";1
2003-0151-IND;"[""2003-0151-IND""]";1;"[""ls""]";1
2003-0148-ZMB;"[""2003-0148-ZMB""]";1;"[""fl""]";1
2003-0129-UKR;"[""2003-0129-UKR""]";1;"[""fl""]";1
2003-0134-IND;"[""2003-0134-IND""]";1;"[""ew""]";1
2003-0135-NCL;"[""2003-0135-NCL""]";1;"[""ew""]";1
2003-0143-AFG;"[""2003-0143-AFG""]";1;"[""fl""]";1
2003-0144-IDN;"[""2003-0144-IDN""]";1;"[""ls""]";1
2003-0138-COL;"[""2003-0138-COL""]";1;"[""ls""]";1
2003-0146-ZAF;"[""2003-0146-ZAF""]";1;"[""fl""]";1
2003-0233-MOZ;"[""2003-0233-MOZ""]";1;"[""fl""]";1
2003-0232-IRN;"[""2003-0232-IRN""]";1;"[""fl""]";1
2003-0759-HTI;"[""2003-0759-HTI""]";1;"[""fl""]";1
2003-0155-IDN;"[""2003-0155-IDN""]";1;"[""ls"", ""fl""]";2
2003-0153-BOL;"[""2003-0153-BOL""]";1;"[""ls""]";1
2003-0231-CAN;"[""2003-0231-CAN""]";1;"[""fl""]";1
2003-0766-CUB;"[""2003-0766-CUB""]";1;"[""fl""]";1
2003-0160-DZA;"[""2003-0160-DZA""]";1;"[""fl""]";1
2003-0728-MWI;"[""2003-0728-MWI""]";1;"[""fl"", ""ls""]";2
2003-0783-TUR;"[""2003-0783-TUR""]";1;"[""eq""]";1
2003-0236-AFG;"[""2003-0236-AFG""]";1;"[""eq"", ""ls""]";2
2003-0184-ITA;"[""2003-0184-ITA""]";1;"[""eq"", ""ls""]";2
2003-0235-THA;"[""2003-0235-THA""]";1;"[""ew""]";1
2003-0234-IND;"[""2003-0234-IND""]";1;"[""ew""]";1
2003-0189-TJK;"[""2003-0189-TJK""]";1;"[""ls""]";1
2003-0176-OMN;"[""2003-0176-OMN""]";1;"[""ew""]";1
2003-0212-AZE;"[""2003-0212-AZE""]";1;"[""fl"", ""ls""]";2
2003-0190-BGD;"[""2003-0190-BGD""]";1;"[""ew""]";1
2003-0238-DOM;"[""2003-0238-DOM""]";1;"[""fl""]";1
2003-0238-PRI;"[""2003-0238-PRI""]";1;"[""fl"", ""ls""]";2
2003-0183-CHN;"[""2003-0183-CHN""]";1;"[""eq""]";1
2003-0179-AFG;"[""2003-0179-AFG""]";1;"[""fl""]";1
2003-0177-KGZ;"[""2003-0177-KGZ""]";1;"[""ls""]";1
2003-0204-UGA;"[""2003-0204-UGA""]";1;"[""fl""]";1
2003-0191-GTM;"[""2003-0191-GTM""]";1;"[""ls""]";1
2003-0204-ETH;"[""2003-0204-ETH""]";1;"[""fl""]";1
2003-0196-ARG;"[""2003-0196-ARG""]";1;"[""fl""]";1
2003-9784-BIH;"[""2003-9784-BIH""]";1;"[""dr""]";1
2003-0197-TUR;"[""2003-0197-TUR""]";1;"[""eq""]";1
2003-0250-PAK;"[""2003-0250-PAK""]";1;"[""hw""]";1
2003-0240-PAK;"[""2003-0240-PAK""]";1;"[""ls""]";1
2003-0208-PNG;"[""2003-0208-PNG""]";1;"[""ls""]";1
2003-0210-USA;"[""2003-0210-USA""]";1;"[""ew""]";1
2003-0209-CHN;"[""2003-0209-CHN""]";1;"[""eq""]";1
2003-0204-SOM;"[""2003-0204-SOM""]";1;"[""fl""]";1
2003-0767-ECU;"[""2003-0767-ECU""]";1;"[""fl""]";1
2003-0756-USA;"[""2003-0756-USA""]";1;"[""fl""]";1
2003-0250-BGD;"[""2003-0190-BGD"", ""2003-0250-BGD""]";2;"[""ew"", ""hw""]";2
2003-0224-MNP;"[""2003-0224-MNP""]";1;"[""vo""]";1
2003-0219-CHN;"[""2003-0219-CHN""]";1;"[""ls""]";1
2003-0220-NAM;"[""2003-0220-NAM""]";1;"[""fl""]";1
2003-0292-AUS;"[""2003-0292-AUS""]";1;"[""fl""]";1
2003-0788-COL;"[""2003-0788-COL""]";1;"[""fl"", ""ls""]";2
2003-0250-IND;"[""2003-0250-IND""]";1;"[""hw"", ""dr""]";2
2003-0227-CHN;"[""2003-0227-CHN""]";1;"[""fl"", ""ls""]";2
2003-0289-PHL;"[""2003-0289-PHL""]";1;"[""fl"", ""ls""]";2
2003-0229-LKA;"[""2003-0229-LKA""]";1;"[""fl"", ""ls""]";2
2003-0287-ASM;"[""2003-0287-ASM""]";1;"[""fl"", ""ls""]";2
2003-0288-AUS;"[""2003-0292-AUS"", ""2003-0288-AUS""]";2;"[""fl"", ""ew""]";2
2003-0245-DZA;"[""2003-0245-DZA""]";1;"[""eq"", ""ts""]";2
2003-0259-KAZ;"[""2003-0259-KAZ""]";1;"[""eq""]";1
2003-0258-PHL;"[""2003-0258-PHL""]";1;"[""ew"", ""ls"", ""fl""]";3
2003-0256-AFG;"[""2003-0256-AFG""]";1;"[""fl"", ""ls""]";2
2003-0255-DZA;"[""2003-0245-DZA"", ""2003-0255-DZA""]";2;"[""eq"", ""ts"", ""eq""]";3
2003-0254-IDN;"[""2003-0254-IDN""]";1;"[""eq""]";1
2003-0780-USA;"[""2003-0780-USA""]";1;"[""ew""]";1
2003-9785-ARG;"[""2003-9785-ARG""]";1;"[""dr""]";1
2003-0713-VEN;"[""2003-0713-VEN""]";1;"[""fl"", ""ls""]";2
2003-0274-CHN;"[""2003-0274-CHN""]";1;"[""fl"", ""ls""]";2
2003-0314-SLB;"[""2003-0314-SLB""]";1;"[""ew"", ""ls""]";2
2003-0273-TJK;"[""2003-0273-TJK""]";1;"[""fl"", ""ls""]";2
2003-0781-DEU;"[""2003-0781-DEU""]";1;"[""ew""]";1
2003-0283-IND;"[""2003-0250-IND"", ""2003-0283-IND""]";2;"[""hw"", ""dr"", ""fl""]";3
2003-0283-BGD;"[""2003-0283-BGD""]";1;"[""fl""]";1
2003-0710-MEX;"[""2003-0710-MEX""]";1;"[""fl""]";1
2003-0284-COL;"[""2003-0284-COL""]";1;"[""fl"", ""ls""]";2
2003-0290-PHL;"[""2003-0290-PHL""]";1;"[""ew"", ""ls"", ""fl""]";3
2003-0293-TLS;"[""2003-0293-TLS""]";1;"[""fl"", ""ls""]";2
2003-0302-AFG;"[""2003-0302-AFG""]";1;"[""fl"", ""ls""]";2
2003-0301-YEM;"[""2003-0301-YEM""]";1;"[""fl""]";1
2003-0303-BGD;"[""2003-0303-BGD""]";1;"[""fl"", ""ls""]";2
2003-0785-DZA;"[""2003-0785-DZA""]";1;"[""hw""]";1
2003-0315-CHN;"[""2003-0315-CHN""]";1;"[""fl"", ""ls""]";2
2003-0782-USA;"[""2003-0782-USA""]";1;"[""ew"", ""fl""]";2
2003-0391-GBR;"[""2003-0391-GBR""]";1;"[""hw""]";1
2003-0391-SVK;"[""2003-0391-SVK""]";1;"[""hw"", ""dr""]";2
2003-0706-UGA;"[""2003-0706-UGA""]";1;"[""fl"", ""ls""]";2
2003-0391-CHE;"[""2003-0391-CHE""]";1;"[""hw"", ""dr""]";2
2003-9784-HUN;"[""2003-9784-HUN""]";1;"[""dr""]";1
2003-0391-HRV;"[""2003-0391-HRV""]";1;"[""hw"", ""dr""]";2
2003-0391-LUX;"[""2003-0391-LUX""]";1;"[""hw""]";1
2003-0341-NPL;"[""2003-0341-NPL""]";1;"[""fl"", ""ls""]";2
2003-0322-IRN;"[""2003-0322-IRN""]";1;"[""eq""]";1
2003-0778-AFG;"[""2003-0778-AFG""]";1;"[""fl""]";1
2003-0438-IRN;"[""2003-0322-IRN"", ""2003-0438-IRN""]";2;"[""eq"", ""eq""]";2
2003-0337-AFG;"[""2003-0337-AFG""]";1;"[""fl""]";1
2003-0387-IND;"[""2003-0387-IND""]";1;"[""fl""]";1
2003-0822-PHL;"[""2003-0290-PHL"", ""2003-0822-PHL""]";2;"[""ew"", ""ls"", ""fl"", ""ew""]";4
2003-0387-PAK;"[""2003-0387-PAK""]";1;"[""fl""]";1
2003-0391-ITA;"[""2003-0391-ITA""]";1;"[""hw"", ""dr""]";2
2003-0719-IND;"[""2003-0719-IND""]";1;"[""fl""]";1
2003-0436-MEX;"[""2003-0436-MEX""]";1;"[""ls""]";1
2003-0346-PHL;"[""2003-0346-PHL""]";1;"[""ew"", ""fl""]";2
2003-0391-CZE;"[""2003-0391-CZE""]";1;"[""hw""]";1
2003-0343-JPN;"[""2003-0343-JPN""]";1;"[""fl"", ""ls""]";2
2003-0358-CMR;"[""2003-0358-CMR""]";1;"[""ls"", ""fl""]";2
2003-0351-MNG;"[""2003-0351-MNG""]";1;"[""fl""]";1
2003-0348-CHN;"[""2003-0348-CHN""]";1;"[""eq"", ""ls""]";2
2003-0346-CHN;"[""2003-0346-CHN""]";1;"[""ew""]";1
2003-0354-JPN;"[""2003-0354-JPN""]";1;"[""eq"", ""ls""]";2
2003-0452-BGD;"[""2003-0452-BGD""]";1;"[""eq"", ""ls""]";2
2003-0346-HKG;"[""2003-0346-HKG""]";1;"[""ew""]";1
2003-0648-TUR;"[""2003-0648-TUR""]";1;"[""eq""]";1
2003-0368-ERI;"[""2003-0368-ERI""]";1;"[""fl""]";1
2003-0393-RUS;"[""2003-0393-RUS""]";1;"[""fl""]";1
2003-0391-PRT;"[""2003-0391-PRT""]";1;"[""hw""]";1
2003-0823-PHL;"[""2003-0290-PHL"", ""2003-0822-PHL"", ""2003-0823-PHL""]";3;"[""ew"", ""ls"", ""fl"", ""ew"", ""ew""]";5
2003-0391-NLD;"[""2003-0391-NLD""]";1;"[""hw""]";1
2003-0391-ESP;"[""2003-0391-ESP""]";1;"[""hw"", ""dr""]";2
2003-0391-FRA;"[""2003-0391-FRA""]";1;"[""hw"", ""dr""]";2
2003-0389-NER;"[""2003-0389-NER""]";1;"[""fl""]";1
2003-9760-IDN;"[""2003-9760-IDN""]";1;"[""dr""]";1
2003-0386-PNG;"[""2003-0386-PNG""]";1;"[""ls""]";1
2003-0391-BEL;"[""2003-0391-BEL""]";1;"[""hw"", ""dr""]";2
2003-0391-DEU;"[""2003-0391-DEU""]";1;"[""hw"", ""dr""]";2
2003-9651-TZA;"[""2003-9651-TZA""]";1;"[""dr""]";1
2003-0824-PHL;"[""2003-0824-PHL""]";1;"[""ew""]";1
2003-0417-CAN;"[""2003-0417-CAN""]";1;"[""fl""]";1
2003-0389-MRT;"[""2003-0389-MRT""]";1;"[""fl""]";1
2003-0720-IND;"[""2003-0719-IND"", ""2003-0720-IND""]";2;"[""fl"", ""fl"", ""ls""]";3
2003-0413-USA;"[""2003-0413-USA""]";1;"[""ew""]";1
2003-0389-SEN;"[""2003-0389-SEN""]";1;"[""fl""]";1
2003-0388-JPN;"[""2003-0354-JPN"", ""2003-0388-JPN""]";2;"[""eq"", ""ls"", ""ew"", ""ls"", ""fl""]";5
2003-0423-SAU;"[""2003-0423-SAU""]";1;"[""fl"", ""ls""]";2
2003-0396-DZA;"[""2003-0396-DZA""]";1;"[""fl""]";1
2003-0389-BFA;"[""2003-0389-BFA""]";1;"[""fl""]";1
2003-0389-MLI;"[""2003-0389-MLI""]";1;"[""fl""]";1
2003-0414-IDN;"[""2003-0414-IDN""]";1;"[""eq""]";1
2003-0411-PAN;"[""2003-0411-PAN""]";1;"[""eq""]";1
2003-0400-GRC;"[""2003-0400-GRC""]";1;"[""eq"", ""ls""]";2
2003-0402-CHN;"[""2003-0402-CHN""]";1;"[""eq""]";1
2003-0447-SOM;"[""2003-0447-SOM""]";1;"[""fl""]";1
2003-0825-PHL;"[""2003-0825-PHL""]";1;"[""ew""]";1
2003-0440-CHN;"[""2003-0440-CHN""]";1;"[""fl"", ""ls""]";2
2003-0441-CHN;"[""2003-0441-CHN""]";1;"[""ls"", ""fl""]";2
2003-0773-VEN;"[""2003-0773-VEN""]";1;"[""fl""]";1
2003-0683-IND;"[""2003-0683-IND""]";1;"[""fl""]";1
2003-0433-ITA;"[""2003-0433-ITA""]";1;"[""fl"", ""ls"", ""fl""]";3
2003-0439-HTI;"[""2003-0439-HTI""]";1;"[""fl""]";1
2003-0826-PHL;"[""2003-0824-PHL"", ""2003-0826-PHL""]";2;"[""ew"", ""ew""]";2
2003-0443-CHN;"[""2003-0443-CHN""]";1;"[""ew""]";1
2003-9651-BDI;"[""2003-9651-BDI""]";1;"[""dr""]";1
2003-0564-CAF;"[""2003-0564-CAF""]";1;"[""fl""]";1
2003-0455-NGA;"[""2003-0455-NGA""]";1;"[""fl""]";1
2003-0681-PAK;"[""2003-0681-PAK""]";1;"[""fl""]";1
2003-0482-MEX;"[""2003-0482-MEX""]";1;"[""fl""]";1
2003-0672-VNM;"[""2003-0672-VNM""]";1;"[""fl""]";1
2003-0775-IND;"[""2003-0775-IND""]";1;"[""fl""]";1
2003-0459-KOR;"[""2003-0459-KOR""]";1;"[""ew"", ""fl"", ""ls""]";3
2003-0481-HND;"[""2003-0481-HND""]";1;"[""fl""]";1
2003-0469-TUN;"[""2003-0469-TUN""]";1;"[""fl"", ""ls""]";2
2003-0468-USA;"[""2003-0468-USA""]";1;"[""ew"", ""fl""]";2
2003-0468-CAN;"[""2003-0468-CAN""]";1;"[""ew""]";1
2003-0724-CHN;"[""2003-0443-CHN"", ""2003-0724-CHN""]";2;"[""ew"", ""fl""]";2
2003-0477-DOM;"[""2003-0477-DOM""]";1;"[""eq"", ""ls""]";2
2003-0497-RUS;"[""2003-0497-RUS""]";1;"[""eq"", ""ls""]";2
2003-0487-CAN;"[""2003-0487-CAN""]";1;"[""ew"", ""fl""]";2
2003-0566-COD;"[""2003-0566-COD""]";1;"[""fl""]";1
2003-0523-GNB;"[""2003-0523-GNB""]";1;"[""fl""]";1
2003-0774-MYS;"[""2003-0774-MYS""]";1;"[""fl""]";1
2003-0490-NZL;"[""2003-0490-NZL""]";1;"[""ew"", ""ls"", ""fl""]";3
2003-0774-THA;"[""2003-0774-THA""]";1;"[""fl"", ""ls""]";2
2003-0495-HTI;"[""2003-0495-HTI""]";1;"[""ew"", ""ls""]";2
2003-0520-COD;"[""2003-0520-COD""]";1;"[""ew""]";1
2003-0503-DZA;"[""2003-0503-DZA""]";1;"[""fl"", ""ls""]";2
2003-0505-VNM;"[""2003-0505-VNM""]";1;"[""fl""]";1
2003-0561-THA;"[""2003-0561-THA""]";1;"[""fl""]";1
2003-0509-CHN;"[""2003-0509-CHN""]";1;"[""eq""]";1
2003-0511-USA;"[""2003-0468-USA"", ""2003-0511-USA""]";2;"[""ew"", ""fl"", ""fl""]";3
2003-0511-CAN;"[""2003-0511-CAN""]";1;"[""fl""]";1
2003-0560-AUS;"[""2003-0560-AUS""]";1;"[""ew"", ""fl""]";2
2003-0519-CHN;"[""2003-0519-CHN""]";1;"[""eq""]";1
2003-0521-BRA;"[""2003-0521-BRA""]";1;"[""fl""]";1
2003-0563-RWA;"[""2003-0563-RWA""]";1;"[""fl""]";1
2003-0531-IDN;"[""2003-0531-IDN""]";1;"[""fl"", ""ls""]";2
2003-0538-SAU;"[""2003-0538-SAU""]";1;"[""fl""]";1
2003-0557-VNM;"[""2003-0505-VNM"", ""2003-0557-VNM""]";2;"[""fl"", ""fl"", ""ls""]";3
2003-0663-USA;"[""2003-0663-USA""]";1;"[""fl""]";1
2003-0546-CHN;"[""2003-0519-CHN"", ""2003-0546-CHN""]";2;"[""eq"", ""eq""]";2
2003-0547-CHN;"[""2003-0509-CHN"", ""2003-0547-CHN""]";2;"[""eq"", ""eq""]";2
2003-0556-MAR;"[""2003-0556-MAR""]";1;"[""fl"", ""ls""]";2
2003-0594-CHN;"[""2003-0594-CHN""]";1;"[""ew""]";1
2003-0595-USA;"[""2003-0595-USA""]";1;"[""ew"", ""ls"", ""fl""]";3
2003-0577-FSM;"[""2003-0577-FSM""]";1;"[""ew""]";1
2003-0570-AGO;"[""2003-0570-AGO""]";1;"[""fl""]";1
2003-0596-CHN;"[""2003-0509-CHN"", ""2003-0547-CHN"", ""2003-0596-CHN""]";3;"[""eq"", ""eq"", ""eq""]";3
2003-0661-HND;"[""2003-0661-HND""]";1;"[""fl""]";1
2003-0604-MYS;"[""2003-0604-MYS""]";1;"[""fl""]";1
2003-0579-BRA;"[""2003-0579-BRA""]";1;"[""fl"", ""ls""]";2
2003-0593-IDN;"[""2003-0593-IDN""]";1;"[""fl"", ""ls""]";2
2003-0673-BRA;"[""2003-0579-BRA"", ""2003-0673-BRA""]";2;"[""fl"", ""ls"", ""fl"", ""ls""]";4
2003-0647-TLS;"[""2003-0647-TLS""]";1;"[""fl""]";1
2003-0582-CHN;"[""2003-0582-CHN""]";1;"[""eq""]";1
2003-0622-MEX;"[""2003-0622-MEX""]";1;"[""cw""]";1
2003-0586-FRA;"[""2003-0586-FRA""]";1;"[""fl"", ""ls""]";2
2003-0587-AUS;"[""2003-0587-AUS""]";1;"[""fl""]";1
2003-0615-AUS;"[""2003-0587-AUS"", ""2003-0615-AUS""]";2;"[""fl"", ""ew"", ""fl""]";3
2003-0599-DOM;"[""2003-0599-DOM""]";1;"[""ew"", ""fl""]";2
2003-0616-AUS;"[""2003-0616-AUS""]";1;"[""ew""]";1
2003-0599-PRI;"[""2003-0599-PRI""]";1;"[""ew"", ""fl""]";2
2003-0602-MDG;"[""2003-0602-MDG""]";1;"[""ew""]";1
2003-0776-IDN;"[""2003-0593-IDN"", ""2003-0776-IDN""]";2;"[""fl"", ""ls"", ""fl"", ""ls""]";4
2003-0617-THA;"[""2003-0617-THA""]";1;"[""fl""]";1
2003-0649-IRN;"[""2003-0649-IRN""]";1;"[""eq""]";1
2003-0659-CRI;"[""2003-0659-CRI""]";1;"[""fl""]";1
2003-0641-COD;"[""2003-0641-COD""]";1;"[""fl""]";1
2003-0636-NPL;"[""2003-0636-NPL""]";1;"[""cw""]";1
