;Records;No records;Hazards;No hazards
2000-0230-IDN;"[""2000-0230-IDN""]";1;"[""eq"", ""ts""]";2
2000-0271-USA;"[""2000-0271-USA""]";1;"[""fl""]";1
2000-0232-USA;"[""2000-0232-USA""]";1;"[""fl""]";1
2000-0272-TUR;"[""2000-0272-TUR""]";1;"[""eq""]";1
2000-0276-MEX;"[""2000-0276-MEX""]";1;"[""fl""]";1
2000-0278-RUS;"[""2000-0278-RUS""]";1;"[""fl""]";1
2000-0277-RUS;"[""2000-0277-RUS""]";1;"[""cw""]";1
2000-0255-ARG;"[""2000-0255-ARG""]";1;"[""fl""]";1
2000-0275-URY;"[""2000-0275-URY""]";1;"[""fl""]";1
2000-0258-IDN;"[""2000-0258-IDN""]";1;"[""fl""]";1
2000-0257-PHL;"[""2000-0257-PHL""]";1;"[""ew"", ""fl""]";2
2000-0296-USA;"[""2000-0296-USA""]";1;"[""fl""]";1
2000-0266-ECU;"[""2000-0266-ECU""]";1;"[""fl""]";1
2000-0294-BGD;"[""2000-0294-BGD""]";1;"[""ew""]";1
2000-0297-USA;"[""2000-0232-USA"", ""2000-0297-USA""]";2;"[""fl"", ""fl""]";2
2000-0360-USA;"[""2000-0360-USA""]";1;"[""ew""]";1
2000-0303-GRC;"[""2000-0303-GRC""]";1;"[""eq""]";1
2000-0338-USA;"[""2000-0338-USA""]";1;"[""ew""]";1
2000-0281-TUR;"[""2000-0281-TUR""]";1;"[""fl""]";1
2000-0283-BGD;"[""2000-0294-BGD"", ""2000-0283-BGD""]";2;"[""ew"", ""ew"", ""fl""]";3
2000-0317-MEX;"[""2000-0276-MEX"", ""2000-0317-MEX""]";2;"[""fl"", ""fl""]";2
2000-0302-CHN;"[""2000-0302-CHN""]";1;"[""fl""]";1
2000-9309-MDG;"[""2000-9309-MDG""]";1;"[""dr""]";1
2000-0331-GBR;"[""2000-0331-GBR""]";1;"[""fl""]";1
2000-9495-ARM;"[""2000-9495-ARM""]";1;"[""dr"", ""hw""]";2
2000-9339-USA;"[""2000-0232-USA"", ""2000-0296-USA"", ""2000-0297-USA"", ""2000-9339-USA""]";4;"[""fl"", ""fl"", ""fl"", ""dr""]";4
2000-0324-HRV;"[""2000-0324-HRV""]";1;"[""hw""]";1
2000-0382-BGR;"[""2000-0382-BGR""]";1;"[""hw""]";1
2000-0394-RUS;"[""2000-0394-RUS""]";1;"[""fl""]";1
2000-0358-IND;"[""2000-0358-IND""]";1;"[""ls""]";1
2000-0330-CHN;"[""2000-0330-CHN""]";1;"[""fl""]";1
2000-9328-ROU;"[""2000-9328-ROU""]";1;"[""dr""]";1
2000-0364-NGA;"[""2000-0364-NGA""]";1;"[""fl""]";1
2000-0345-NIC;"[""2000-0345-NIC""]";1;"[""fl""]";1
2000-0381-TUR;"[""2000-0272-TUR"", ""2000-0281-TUR"", ""2000-0381-TUR""]";3;"[""eq"", ""fl"", ""hw"", ""dr""]";4
2000-0476-NPL;"[""2000-0476-NPL""]";1;"[""fl""]";1
2000-0351-PAK;"[""2000-0351-PAK""]";1;"[""hw""]";1
2000-0293-IDN;"[""2000-0293-IDN""]";1;"[""eq"", ""ls""]";2
2000-0326-CHN;"[""2000-0302-CHN"", ""2000-0326-CHN""]";2;"[""fl"", ""ls""]";2
2000-0310-CHL;"[""2000-0310-CHL""]";1;"[""fl""]";1
2000-0298-CHN;"[""2000-0302-CHN"", ""2000-0298-CHN""]";2;"[""fl"", ""eq""]";2
2000-0291-TUR;"[""2000-0272-TUR"", ""2000-0281-TUR"", ""2000-0381-TUR"", ""2000-0291-TUR""]";4;"[""eq"", ""fl"", ""hw"", ""dr"", ""eq""]";5
2000-0299-GTM;"[""2000-0299-GTM""]";1;"[""fl""]";1
2000-0762-IDN;"[""2000-0762-IDN""]";1;"[""eq""]";1
2000-0376-CHN;"[""2000-0302-CHN"", ""2000-0326-CHN"", ""2000-0376-CHN""]";3;"[""fl"", ""ls"", ""fl""]";3
2000-0359-ESP;"[""2000-0359-ESP""]";1;"[""fl""]";1
2000-0356-FRA;"[""2000-0356-FRA""]";1;"[""fl""]";1
2000-0333-MEX;"[""2000-0333-MEX""]";1;"[""fl"", ""ls""]";2
2000-0312-GIN;"[""2000-0312-GIN""]";1;"[""ew""]";1
2000-0361-VNM;"[""2000-0361-VNM""]";1;"[""ew""]";1
2000-0350-CHN;"[""2000-0350-CHN""]";1;"[""ew""]";1
2000-0335-ISL;"[""2000-0335-ISL""]";1;"[""eq""]";1
2000-0421-ARG;"[""2000-0421-ARG""]";1;"[""cw""]";1
2000-0076-ISL;"[""2000-0335-ISL"", ""2000-0076-ISL""]";2;"[""eq"", ""eq""]";2
2000-0401-THA;"[""2000-0401-THA""]";1;"[""fl""]";1
2000-0469-IDN;"[""2000-0469-IDN""]";1;"[""ls""]";1
2000-0373-BGD;"[""2000-0373-BGD""]";1;"[""fl"", ""ls""]";2
2000-0631-BGD;"[""2000-0631-BGD""]";1;"[""ew""]";1
2000-0374-CRI;"[""2000-0374-CRI""]";1;"[""ls""]";1
2000-0399-ETH;"[""2000-0399-ETH""]";1;"[""fl""]";1
2000-0416-BOL;"[""2000-0416-BOL""]";1;"[""cw""]";1
2000-0422-URY;"[""2000-0422-URY""]";1;"[""cw""]";1
2000-0444-IND;"[""2000-0444-IND""]";1;"[""fl""]";1
2000-0473-ISR;"[""2000-0473-ISR""]";1;"[""hw""]";1
2000-0379-GRC;"[""2000-0379-GRC""]";1;"[""hw""]";1
2000-0383-SCG;"[""2000-0383-SCG""]";1;"[""hw""]";1
2000-0471-JOR;"[""2000-0471-JOR""]";1;"[""hw""]";1
2000-0428-JPN;"[""2000-0428-JPN""]";1;"[""eq""]";1
2000-0433-USA;"[""2000-0232-USA"", ""2000-0296-USA"", ""2000-0297-USA"", ""2000-9339-USA"", ""2000-0433-USA""]";5;"[""fl"", ""fl"", ""fl"", ""dr"", ""hw""]";5
2000-0501-NER;"[""2000-0501-NER""]";1;"[""fl""]";1
2000-0380-ROU;"[""2000-9328-ROU"", ""2000-0380-ROU""]";2;"[""dr"", ""hw""]";2
2000-0456-BRA;"[""2000-0456-BRA""]";1;"[""cw""]";1
