Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2006-0464-CHN;2006-0567-CHN;468714.0;0.35;1.0;1.0;2006-06-20 00:00:00+00:00;2006-10-06 00:00:00+00:00;108.0
2006-0464-CHN;2006-0732-CHN;221945.0;0.17;0.31;0.31;2006-06-20 00:00:00+00:00;2006-05-04 00:00:00+00:00;47.0
2006-0466-HTI;2006-0651-HTI;2064.0;0.14;0.66;0.66;2006-08-25 00:00:00+00:00;2006-11-28 00:00:00+00:00;95.0
2006-0466-HTI;2006-0716-HTI;5508.0;0.38;1.0;1.0;2006-08-25 00:00:00+00:00;2006-07-30 00:00:00+00:00;26.0
2006-0466-USA;2006-0595-USA;193516.0;0.41;0.07;0.41;2006-08-02 00:00:00+00:00;2006-11-15 00:00:00+00:00;105.0
2006-0469-IND;2006-0731-IND;105113.0;1.0;0.09;1.0;2006-08-18 00:00:00+00:00;2006-03-09 00:00:00+00:00;162.0
2006-0473-NPL;2006-9723-NPL;11544.0;0.37;0.14;0.37;2006-08-26 00:00:00+00:00;2006-07-01 00:00:00+00:00;56.0
2006-0475-CHN;2006-0567-CHN;468714.0;0.34;1.0;1.0;2006-08-25 00:00:00+00:00;2006-10-06 00:00:00+00:00;42.0
2006-0475-CHN;2006-9741-CHN;656481.0;0.48;0.32;0.48;2006-08-25 00:00:00+00:00;2006-05-01 00:00:00+00:00;116.0
2006-0498-MEX;2006-0709-MEX;10374.0;1.0;0.0;1.0;2006-09-06 00:00:00+00:00;2006-11-01 00:00:00+00:00;56.0
2006-0505-MEX;2006-0604-MEX;16129.0;0.99;0.25;0.99;2006-09-16 00:00:00+00:00;2006-10-25 00:00:00+00:00;39.0
2006-0505-MEX;2006-0709-MEX;16178.0;1.0;0.01;1.0;2006-09-16 00:00:00+00:00;2006-11-01 00:00:00+00:00;46.0
2006-0510-IND;2006-0601-IND;173839.0;0.44;1.0;1.0;2006-09-18 00:00:00+00:00;2006-10-26 00:00:00+00:00;38.0
2006-0510-IND;2006-0712-IND;173839.0;0.44;0.34;0.44;2006-09-18 00:00:00+00:00;2006-08-01 00:00:00+00:00;48.0
2006-0517-PHL;2006-0648-PHL;11934.0;0.3;0.62;0.62;2006-09-27 00:00:00+00:00;2006-11-30 00:00:00+00:00;64.0
2006-0517-PHL;2006-0667-PHL;39468.0;1.0;0.38;1.0;2006-09-27 00:00:00+00:00;2006-12-11 00:00:00+00:00;75.0
2006-0540-PNG;2006-0715-PNG;528.0;1.0;0.01;1.0;2006-10-07 00:00:00+00:00;2006-07-13 00:00:00+00:00;86.0
