Events;No events;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
['2000-0338-USA'];1;"[""ew""]";1;;;48436.0;182;1
['2000-0003-BGD', '2000-0283-BGD'];2;"[""cw"", ""ew"", ""fl""]";3;85.0;;;182;1
['2000-0276-MEX', '2000-0317-MEX'];2;"[""fl"", ""fl""]";2;19.0;;;182;1
['2000-9309-MDG'];1;"[""dr""]";1;;231290.0;;182;1
['2000-0331-GBR'];1;"[""fl""]";1;;240.0;30846.0;182;1
['2000-9495-ARM'];1;"[""dr"", ""hw""]";2;;297000.0;169951.0;182;1
['2000-0324-HRV'];1;"[""hw""]";1;40.0;200.0;407881.0;182;1
['2000-0029-BGR', '2000-9788-BGR', '2000-0382-BGR'];3;"[""cw"", ""dr"", ""hw""]";3;;;;182;1
['2000-0394-RUS'];1;"[""fl""]";1;;;;182;1
['2000-0330-CHN'];1;"[""fl""]";1;4.0;15000.0;;182;1
['2000-9328-ROU'];1;"[""dr""]";1;;;849753.0;182;1
['2000-0364-NGA'];1;"[""fl""]";1;;250.0;;182;1
['2000-0345-NIC'];1;"[""fl""]";1;;5500.0;;182;1
['2000-0476-NPL'];1;"[""fl""]";1;144.0;50070.0;10707.0;182;1
['2000-0351-PAK'];1;"[""hw""]";1;24.0;;;182;1
['2000-0293-IDN'];1;"[""eq"", ""ls""]";2;103.0;204714.0;69680.0;182;1
['2000-0200-CHN', '2000-0302-CHN', '2000-0298-CHN'];3;"[""fl"", ""fl"", ""eq""]";3;;194283.0;;182;1
['2000-0272-TUR', '2000-0281-TUR', '2000-0381-TUR', '2000-0291-TUR'];4;"[""eq"", ""fl"", ""hw"", ""dr"", ""eq""]";5;16.0;25380.0;;182;1
['2000-0762-IDN'];1;"[""eq""]";1;1.0;3000.0;;182;1
['2000-0200-CHN', '2000-0302-CHN', '2000-0326-CHN', '2000-0376-CHN'];4;"[""fl"", ""fl"", ""ls"", ""fl""]";4;153.0;496183.0;;182;1
['2000-0359-ESP'];1;"[""fl""]";1;16.0;500.0;;182;1
['2000-0356-FRA'];1;"[""fl""]";1;1.0;200.0;;182;1
['2000-0312-GIN'];1;"[""ew""]";1;4.0;;;182;1
['2000-0361-VNM'];1;"[""ew""]";1;3.0;129.0;;182;1
