Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
2000-0257-PHL;;ew;fl;2000-05-18 00:00:00+00:00;2000-05-18 00:00:00+00:00;;;Philippines (the);Philippines (the);;;;;12.0;;;235889.0;;;2041.0
2000-0258-IDN;;fl;;2000-05-16 00:00:00+00:00;2000-05-24 00:00:00+00:00;;;Indonesia;;11400.0;;126.0;;;50000.0;;;134261.0;;
2000-0259-SOM;;fl;;2000-05-01 00:00:00+00:00;2000-05-01 00:00:00+00:00;;;Somalia;;46000.0;;;;;3500.0;;;;;
2000-0260-AGO;;fl;;2000-05-03 00:00:00+00:00;2000-05-03 00:00:00+00:00;;;Angola;;;;11.0;;;11.0;;;;;
2000-0266-ECU;;fl;;2000-05-22 00:00:00+00:00;2000-05-22 00:00:00+00:00;;;Ecuador;;;;34.0;;;32.0;;;;;
2000-0269-BLR;;cw;;2000-05-01 00:00:00+00:00;;;;Belarus;;;;;;;;;;51495.0;;
2000-0202-RUS;2000-0277-RUS;fl;cw;2000-04-14 00:00:00+00:00;2000-04-14 00:00:00+00:00;2000-05-13 00:00:00+00:00;2000-05-13 00:00:00+00:00;Russian Federation (the);Russian Federation (the);;-9.0;1.0;;;23000.0;;;;;
2000-0278-RUS;;fl;;2000-05-13 00:00:00+00:00;2000-05-13 00:00:00+00:00;;;Russian Federation (the);;;;;;;1200.0;;;;;
2000-0293-IDN;;eq;ls;2000-06-04 00:00:00+00:00;2000-06-04 00:00:00+00:00;;;Indonesia;Indonesia;7.0;;;;103.0;;;204714.0;;;69680.0
2000-0232-USA;2000-0297-USA;fl;fl;2000-05-06 00:00:00+00:00;2000-05-09 00:00:00+00:00;2000-05-23 00:00:00+00:00;2000-05-23 00:00:00+00:00;United States of America (the);United States of America (the);;;2.0;2.0;4.0;2000.0;300.0;2300.0;;169951.0;
2000-0302-CHN;2000-0298-CHN;fl;eq;2000-05-31 00:00:00+00:00;2000-06-19 00:00:00+00:00;2000-06-06 00:00:00+00:00;2000-06-06 00:00:00+00:00;China;China;114000.0;6.0;34.0;;;154183.0;100.0;154283.0;37389.0;;
2000-0276-MEX;2000-0299-GTM;fl;fl;2000-05-13 00:00:00+00:00;2000-05-13 00:00:00+00:00;2000-06-06 00:00:00+00:00;2000-06-21 00:00:00+00:00;Mexico;Guatemala;;11600.0;14.0;16.0;30.0;;2524.0;;;;
2000-0303-GRC;;eq;;2000-05-26 00:00:00+00:00;2000-05-26 00:00:00+00:00;;;Greece;;6.0;;;;;600.0;;;;;
2000-0312-GIN;;ew;;2000-06-11 00:00:00+00:00;2000-06-11 00:00:00+00:00;;;Guinea;;200.0;;4.0;;;;;;;;
2000-0276-MEX;2000-0317-MEX;fl;fl;2000-05-13 00:00:00+00:00;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;2000-05-30 00:00:00+00:00;Mexico;Mexico;;;14.0;5.0;19.0;;2000.0;;;;
2000-0323-IND;;ew;;2000-10-17 00:00:00+00:00;2000-10-17 00:00:00+00:00;;;India;;100.0;;;;;;;;;;
2000-0302-CHN;2000-0326-CHN;fl;ls;2000-05-31 00:00:00+00:00;2000-06-19 00:00:00+00:00;2000-06-05 00:00:00+00:00;2000-06-05 00:00:00+00:00;China;China;114000.0;;34.0;71.0;105.0;154183.0;2000.0;156183.0;37389.0;;
2000-0187-ROU;2000-0337-UKR;fl;cw;2000-04-05 00:00:00+00:00;2000-04-25 00:00:00+00:00;2000-05-01 00:00:00+00:00;2000-05-11 00:00:00+00:00;Romania;Ukraine;932.0;;9.0;;;60431.0;;;169951.0;144458.0;314409.0
2000-0232-USA;2000-0338-USA;fl;ew;2000-05-06 00:00:00+00:00;2000-05-09 00:00:00+00:00;2000-05-26 00:00:00+00:00;2000-05-26 00:00:00+00:00;United States of America (the);United States of America (the);;;2.0;;;2000.0;;;;48436.0;
2000-0345-NIC;;fl;;2000-06-01 00:00:00+00:00;;;;Nicaragua;;;;;;;5500.0;;;;;
2000-0350-CHN;;ew;;2000-06-17 00:00:00+00:00;2000-06-17 00:00:00+00:00;;;China;;;;33.0;;;10.0;;;;;
2000-0351-PAK;;hw;;2000-06-01 00:00:00+00:00;;;;Pakistan;;46.0;;24.0;;;;;;;;
2000-0354-RUS;;fl;;2000-08-01 00:00:00+00:00;;;;Russian Federation (the);;;;;;;6000.0;;;11897.0;;
2000-0356-FRA;;fl;;2000-06-10 00:00:00+00:00;2000-06-10 00:00:00+00:00;;;France;;30.0;;1.0;;;200.0;;;;;
2000-0358-IND;;ls;;2000-06-01 00:00:00+00:00;;;;India;;;;43.0;;;;;;;;
2000-0361-VNM;;ew;;2000-06-12 00:00:00+00:00;2000-06-12 00:00:00+00:00;;;Viet Nam;;;;3.0;;;129.0;;;;;
2000-0379-GRC;;hw;;2000-07-01 00:00:00+00:00;;;;Greece;;44.0;;27.0;;;176.0;;;5099.0;;
2000-0381-TUR;;hw;dr;2000-06-01 00:00:00+00:00;;;;Turkey;Turkey;46.0;;;;11.0;;;300.0;;;1700.0
2000-0387-NIC;;eq;;2000-07-06 00:00:00+00:00;2000-07-06 00:00:00+00:00;;;Nicaragua;;5.0;;7.0;;;7477.0;;;;;
2000-0394-RUS;;fl;;2000-06-01 00:00:00+00:00;;;;Russian Federation (the);;;;;;;;;;;;
2000-0396-PHL;2000-0397-PHL;ew;ew;2000-07-05 00:00:00+00:00;2000-07-05 00:00:00+00:00;2000-07-07 00:00:00+00:00;2000-07-07 00:00:00+00:00;Philippines (the);Philippines (the);185.0;200.0;11.0;75.0;86.0;120000.0;1483321.0;1603321.0;12746.0;43784.0;56530.0
2000-0398-CYP;;hw;;2000-07-01 00:00:00+00:00;;;;Cyprus;;43.0;;5.0;;;400.0;;;;;
2000-0399-ETH;;fl;;2000-06-29 00:00:00+00:00;2000-06-29 00:00:00+00:00;;;Ethiopia;;;;60.0;;;;;;;;
2000-0401-THA;;fl;;2000-06-21 00:00:00+00:00;2000-06-21 00:00:00+00:00;;;Thailand;;;;;;;2500.0;;;;;
2000-0415-IND;;ls;;2000-07-12 00:00:00+00:00;2000-07-12 00:00:00+00:00;;;India;;;;58.0;;;7038.0;;;;;
2000-0416-BOL;;cw;;2000-07-01 00:00:00+00:00;;;;Bolivia (Plurinational State of);;-9.0;;6.0;;;25277.0;;;;;
2000-0420-CAN;;ew;;2000-07-14 00:00:00+00:00;2000-07-14 00:00:00+00:00;;;Canada;;300.0;;11.0;;;840.0;;;22094.0;;
2000-0421-ARG;;cw;;2000-06-17 00:00:00+00:00;2000-06-17 00:00:00+00:00;;;Argentina;;;;15.0;;;300.0;;;;;
2000-0310-CHL;2000-0423-CHL;fl;cw;2000-06-05 00:00:00+00:00;2000-06-16 00:00:00+00:00;2000-07-03 00:00:00+00:00;2000-07-03 00:00:00+00:00;Chile;Chile;84000.0;-20.0;1.0;;;42000.0;;;;16995.0;
2000-0427-UKR;;ew;;2000-07-05 00:00:00+00:00;2000-07-05 00:00:00+00:00;;;Ukraine;;;;2.0;;;39010.0;;;;;
2000-0433-USA;;hw;;2000-07-01 00:00:00+00:00;;;;United States of America (the);;38.0;;35.0;;;;;;;;
2000-0441-KOR;;fl;;2000-07-22 00:00:00+00:00;2000-07-22 00:00:00+00:00;;;Korea (the Republic of);;129.0;;13.0;;;2589.0;;;39089.0;;
2000-0444-IND;;fl;;2000-07-01 00:00:00+00:00;;;;India;;;;130.0;;;;;;;;
2000-0428-JPN;2000-0447-JPN;eq;ew;2000-07-01 00:00:00+00:00;2000-07-01 00:00:00+00:00;2000-07-08 00:00:00+00:00;2000-07-09 00:00:00+00:00;Japan;Japan;6.0;126.0;1.0;4.0;5.0;100.0;900.0;1000.0;;509852.0;
2000-0448-VNM;;ew;;2000-07-10 00:00:00+00:00;2000-07-10 00:00:00+00:00;;;Viet Nam;;;;;;;2005.0;;;;;
2000-0449-IDN;;eq;;2000-07-12 00:00:00+00:00;2000-07-12 00:00:00+00:00;;;Indonesia;;5.0;;;;;4124.0;;;3399.0;;
2000-0456-BRA;;cw;;2000-07-01 00:00:00+00:00;;;;Brazil;;-5.0;;7.0;;;;;;;;
2000-0457-RUS;;ls;;2000-07-19 00:00:00+00:00;2000-07-19 00:00:00+00:00;;;Russian Federation (the);;;;7.0;;;508.0;;;;;
2000-0463-USA;;ew;;2000-07-25 00:00:00+00:00;2000-07-25 00:00:00+00:00;;;United States of America (the);;;;1.0;;;1035.0;;;13766.0;;
2000-0464-NGA;;ew;;2000-10-09 00:00:00+00:00;2000-10-09 00:00:00+00:00;;;Nigeria;;;;;;;1000.0;;;;;
2000-0471-JOR;;hw;;2000-07-01 00:00:00+00:00;;;;Jordan;;43.0;;;;;12.0;;;;;
2000-0473-ISR;;hw;;2000-07-01 00:00:00+00:00;;;;Israel;;45.0;;;;;;;;;;
2000-0475-CMR;;fl;;2000-08-03 00:00:00+00:00;2000-08-05 00:00:00+00:00;;;Cameroon;;3700.0;;3.0;;;500.0;;;;;
2000-0485-DZA;;fl;;2000-08-06 00:00:00+00:00;2000-08-06 00:00:00+00:00;;;Algeria;;;;7.0;;;;;;;;
2000-0490-SOM;;fl;;2000-07-10 00:00:00+00:00;2000-07-10 00:00:00+00:00;;;Somalia;;;;;;;220000.0;;;;;
2000-0497-ETH;;fl;;2000-08-10 00:00:00+00:00;2000-08-21 00:00:00+00:00;;;Ethiopia;;57500.0;;9.0;;;30000.0;;;;;
2000-0498-IND;;ls;;2000-08-11 00:00:00+00:00;2000-08-11 00:00:00+00:00;;;India;;;;86.0;;;;;;;;
2000-0499-IRN;;fl;;2000-08-08 00:00:00+00:00;2000-08-09 00:00:00+00:00;;;Iran (Islamic Republic of);;16200.0;;8.0;;;400.0;;;10197.0;;
2000-0500-USA;;fl;ls;2000-08-12 00:00:00+00:00;2000-08-14 00:00:00+00:00;;;United States of America (the);United States of America (the);;;;;;;;175.0;;;282118.0
2000-0502-USA;;fl;;2000-07-30 00:00:00+00:00;2000-07-30 00:00:00+00:00;;;United States of America (the);;;;;;;300.0;;;;;
2000-0507-SEN;;fl;;2000-07-28 00:00:00+00:00;2000-07-28 00:00:00+00:00;;;Senegal;;;;;;;;;;;;
2000-0511-NGA;;fl;;2000-08-14 00:00:00+00:00;2000-08-14 00:00:00+00:00;;;Nigeria;;;;4.0;;;1000.0;;;;;
2000-0515-JPN;;vo;;2000-08-10 00:00:00+00:00;2000-08-10 00:00:00+00:00;;;Japan;;;;;;;4000.0;;;;;
2000-0517-TWN;;ew;;2000-08-22 00:00:00+00:00;2000-08-23 00:00:00+00:00;;;Taiwan (Province of China);;322.0;;14.0;;;2100.0;;;229433.0;;
2000-0559-CHN;2000-0527-CHN;ls;eq;2000-08-13 00:00:00+00:00;2000-08-13 00:00:00+00:00;2000-08-21 00:00:00+00:00;2000-08-21 00:00:00+00:00;China;China;;5.0;14.0;1.0;15.0;27.0;177611.0;177638.0;4079.0;73079.0;77158.0
2000-0530-MLI;;fl;;2000-08-25 00:00:00+00:00;2000-08-25 00:00:00+00:00;;;Mali;;;;15.0;;;;;;;;
2000-0532-CHN;;ew;;2000-08-01 00:00:00+00:00;;;;China;;;;10.0;;;30.0;;;22583.0;;
2000-0533-CHN;;ew;;2000-08-23 00:00:00+00:00;2000-08-23 00:00:00+00:00;;;China;;;;11.0;;;4522.0;;;118019.0;;
2000-0445-IND;2000-0534-IND;fl;fl;2000-08-02 00:00:00+00:00;2000-08-30 00:00:00+00:00;2000-08-23 00:00:00+00:00;2000-08-31 00:00:00+00:00;India;India;300000.0;129500.0;867.0;179.0;1046.0;22000000.0;252016.0;22252016.0;73079.0;294014.0;367093.0
2000-0438-KHM;2000-0539-THA;fl;ew;2000-07-11 00:00:00+00:00;2000-08-10 00:00:00+00:00;2000-08-21 00:00:00+00:00;2000-08-21 00:00:00+00:00;Cambodia;Thailand;638.0;;347.0;2.0;349.0;3448053.0;41219.0;3489272.0;271921.0;;
2000-0540-VNM;;ew;;2000-08-24 00:00:00+00:00;2000-08-24 00:00:00+00:00;;;Viet Nam;;;;;;;5730.0;;;;;
2000-0547-NGA;;fl;;2000-08-15 00:00:00+00:00;2000-08-15 00:00:00+00:00;;;Nigeria;;100.0;;;;;750.0;;;3229.0;;
2000-0478-RUS;2000-0549-RUS;fl;fl;2000-07-30 00:00:00+00:00;2000-08-06 00:00:00+00:00;2000-08-28 00:00:00+00:00;2000-08-28 00:00:00+00:00;Russian Federation (the);Russian Federation (the);192100.0;;2.0;;;24000.0;1181.0;25181.0;50985.0;2757.0;53742.0
2000-0535-KOR;2000-0550-KOR;fl;ew;2000-08-26 00:00:00+00:00;2000-08-29 00:00:00+00:00;2000-08-31 00:00:00+00:00;2000-08-31 00:00:00+00:00;Korea (the Republic of);Korea (the Republic of);27590.0;209.0;7.0;25.0;32.0;500.0;300.0;800.0;45887.0;19204.0;65091.0
2000-0551-DZA;;fl;;2000-08-17 00:00:00+00:00;2000-08-17 00:00:00+00:00;;;Algeria;;;;;;;100.0;;;;;
2000-0555-BGD;;fl;;2000-08-30 00:00:00+00:00;2000-08-30 00:00:00+00:00;;;Bangladesh;;;;1.0;;;12010.0;;;;;
2000-0556-CHN;;ew;;2000-08-01 00:00:00+00:00;;;;China;;;;4.0;;;37770.0;;;17.0;;
2000-0558-NZL;;fl;;2000-08-20 00:00:00+00:00;2000-08-20 00:00:00+00:00;;;New Zealand;;;;;;;;;;1700.0;;
2000-0577-ITA;;fl;;2000-09-10 00:00:00+00:00;2000-09-10 00:00:00+00:00;;;Italy;;;;16.0;;;22.0;;;;;
2000-0518-VNM;2000-0582-VNM;ew;ew;2000-08-20 00:00:00+00:00;2000-08-20 00:00:00+00:00;2000-09-10 00:00:00+00:00;2000-09-10 00:00:00+00:00;Viet Nam;Viet Nam;;120.0;15.0;5.0;20.0;4.0;6029.0;6033.0;8498.0;35690.0;44188.0
2000-0583-LAO;;fl;;2000-09-01 00:00:00+00:00;;;;Lao People's Democratic Republic (the);;1104.0;;15.0;;;450000.0;;;1700.0;;
