eventtype_detailed;count
fl;1832
ew;868
fl,ls;550
eq;326
ls;284
ew,fl;277
cw;179
ew,fl,ls;160
dr;153
hw;87
vo;77
eq,ls;70
cw,ew;36
ew,ls;35
dr,hw;23
ts,ts;16
eq,ts;8
ts;8
eq,ls,ts;7
ls,ls;5
fl,fl;4
fl,fl,ls;4
ls,vo;3
cw,fl;3
cw,ew,ls;3
ls,ts,ts;2
cw,dr;2
cw,fl,ls;2
fl,ts;2
fl,vo;2
ew,fl,ts;2
fl,ls,ls;2
eq,fl,ls;1
ls,ts;1
eq,vo;1
